"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Freq [GHz]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","phip1 [deg]","rprobe [mm]","Rteflon [mm]","Theta [deg]","thetap1 [deg]","Phi [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-169,-6.65260343917347,-13.5224831245824
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-168,-6.82617168584656,-13.4723078420807
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-167,-6.98925500554576,-13.4019574572536
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-166,-7.14125408898816,-13.3113043049146
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-165,-7.28174721870785,-13.2009373933272
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-164,-7.41050799774942,-13.0721286240006
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-163,-7.52751599324844,-12.9267537291502
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-162,-7.63295954470785,-12.7671793356962
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-161,-7.72723062138229,-12.5961310986467
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-160,-7.81091226139714,-12.4165582569163
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-159,-7.88475969810449,-12.2315077047369
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-158,-7.94967670326942,-12.0440167905281
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-157,-8.00668890789801,-11.8570297311495
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-156,-8.05691589103801,-11.6733386975393
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-155,-8.10154367835834,-11.4955478080692
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-154,-8.14179901238774,-11.3260565832438
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-153,-8.17892640198506,-11.1670587239329
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-152,-8.21416858532301,-11.020552103708
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-151,-8.24875069343406,-10.8883563287105
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-150,-8.28386811045118,-10.7721348793843
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-149,-8.32067780713198,-10.6734195413386
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-148,-8.36029277828444,-10.5936354574936
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-147,-8.40377913541215,-10.5341256404794
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-146,-8.4521553811587,-10.4961741548373
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-145,-8.50639340796732,-10.4810274108027
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-144,-8.56742080627819,-10.4899131070147
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-143,-8.6361241259595,-10.5240563144846
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-142,-8.71335279941942,-10.5846919910661
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-141,-8.79992349945808,-10.673072814977
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-140,-8.89662476517278,-10.7904705551011
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-139,-9.00422178277395,-10.9381681334769
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,94.5327,0.65,2.05,90,95.5768,-138,-9.12346125406031,-11.1174378881326
