"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Freq [GHz]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","Phi [deg]","phip1 [deg]","rprobe [mm]","Rteflon [mm]","thetap1 [deg]","Theta [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-116,-14.1087323679798,-12.1793296193473
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-115,-14.5815673704903,-11.5626793011608
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-114,-15.0824745227133,-10.9528230190663
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-113,-15.6128893269479,-10.3592965796347
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-112,-16.174380537008,-9.78832824027403
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-111,-16.7686662110999,-9.24374971345459
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-110,-17.3976310254802,-8.72772309608032
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-109,-18.063344628255,-8.24128205324328
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-108,-18.7680805559396,-7.78471841189224
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-107,-19.5143348164085,-7.35785121700776
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-106,-20.3048425669449,-6.96021073397157
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-105,-21.1425902383496,-6.59116266029446
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-104,-22.0308187459709,-6.24999104186529
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-103,-22.9730107294342,-5.93595298758474
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-102,-23.9728505259204,-5.64831427589565
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-101,-25.0341389746514,-5.38637209966959
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-100,-26.1606349354063,-5.14946921450238
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-99,-27.355779783324,-4.93700239381482
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-98,-28.6222375311211,-4.74842716483127
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-97,-29.9611477382338,-4.58326016748006
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-96,-31.3709340176904,-4.4410800491334
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-95,-32.8454213419599,-4.32152751701903
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-94,-34.3708455564698,-4.22430497291794
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-93,-35.9209755439605,-4.14917602146713
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-92,-37.4488351388658,-4.09596505374094
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,-91,-38.8726980592708,-4.06455704805773
