"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Freq [GHz]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","Phi [deg]","phip1 [deg]","rprobe [mm]","Rteflon [mm]","thetap1 [deg]","Theta [deg]","dB(AxialRatioValue) []"
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,118,0.399122603429958
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,119,0.425421450018372
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,120,0.451979005267151
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,121,0.478773615188742
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,122,0.505797152977723
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,123,0.533057374113425
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,124,0.560580459519502
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,125,0.588413666543927
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,126,0.616627982165272
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,127,0.645320643349429
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,128,0.674617358614179
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,129,0.704674036669388
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,130,0.735677807996024
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,131,0.767847120122396
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,132,0.801430704280093
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,133,0.836705256180368
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,134,0.873971749924838
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,135,0.913550409438496
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,136,0.95577448736386
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,137,1.00098313119136
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,138,1.04951372968398
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,139,1.10169420783466
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,140,1.15783575894028
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,141,1.21822646099214
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,142,1.28312612697498
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,143,1.35276260167895
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,144,1.42732956500678
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,145,1.50698575800355
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,146,1.59185543253124
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,147,1.68202974989093
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,148,1.77756882006385
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,149,1.87850407671972
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,150,1.98484071459023
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,151,2.09655996477935
100,0,0,33.3212,33.5657,1.57542,0,1.524,15.07,19,90,94.5327,0.65,2.05,95.5768,152,2.21362104051944
