Phi[deg],Theta[deg],re(rEPhi)[mV]
-15,-179,-4071.21
-14,-179,-4078.22
-13,-179,-4083.92
-12,-179,-4088.3
-11,-179,-4091.37
-10,-179,-4093.12
-9,-179,-4093.56
-8,-179,-4092.67
-7,-179,-4090.45
-6,-179,-4086.92
-5,-179,-4082.06
-4,-179,-4075.88
-3,-179,-4068.38
-2,-179,-4059.55
-1,-179,-4049.41
0,-179,-4037.96
1,-179,-4025.19
2,-179,-4011.11
3,-179,-3995.72
4,-179,-3979.04
5,-179,-3961.06
6,-179,-3941.78
7,-179,-3921.22
8,-179,-3899.38
9,-179,-3876.27
10,-179,-3851.89
11,-179,-3826.26
12,-179,-3799.37
13,-179,-3771.24
14,-179,-3741.88
15,-179,-3711.3
16,-179,-3679.5
17,-179,-3646.5
18,-179,-3612.31
19,-179,-3576.93
20,-179,-3540.39
21,-179,-3502.69
22,-179,-3463.84
23,-179,-3423.86
24,-179,-3382.77
25,-179,-3340.56
26,-179,-3297.27
27,-179,-3252.9
28,-179,-3207.47
29,-179,-3160.99
30,-179,-3113.48
31,-179,-3064.96
32,-179,-3015.44
33,-179,-2964.93
34,-179,-2913.46
35,-179,-2861.05
36,-179,-2807.7
37,-179,-2753.44
38,-179,-2698.29
39,-179,-2642.27
40,-179,-2585.39
41,-179,-2527.67
42,-179,-2469.13
43,-179,-2409.8
44,-179,-2349.69
45,-179,-2288.83
46,-179,-2227.23
47,-179,-2164.91
48,-179,-2101.9
49,-179,-2038.22
50,-179,-1973.88
51,-179,-1908.92
52,-179,-1843.34
53,-179,-1777.18
54,-179,-1710.46
55,-179,-1643.19
56,-179,-1575.41
57,-179,-1507.13
58,-179,-1438.38
59,-179,-1369.17
60,-179,-1299.54
61,-179,-1229.5
62,-179,-1159.09
63,-179,-1088.31
64,-179,-1017.2
65,-179,-945.782
66,-179,-874.074
67,-179,-802.103
68,-179,-729.892
69,-179,-657.464
70,-179,-584.844
71,-179,-512.055
72,-179,-439.121
73,-179,-366.065
74,-179,-292.912
75,-179,-219.685
76,-179,-146.407
77,-179,-73.1031
78,-179,0.204141
79,-179,73.4909
80,-179,146.734
81,-179,219.909
82,-179,292.994
83,-179,365.965
84,-179,438.798
85,-179,511.472
86,-179,583.962
87,-179,656.247
88,-179,728.303
89,-179,800.108
90,-179,871.639
91,-179,942.874
92,-179,1013.79
93,-179,1084.37
94,-179,1154.58
95,-179,1224.42
96,-179,1293.84
97,-179,1362.85
98,-179,1431.4
99,-179,1499.49
100,-179,1567.08
101,-179,1634.17
102,-179,1700.73
103,-179,1766.74
104,-179,1832.18
105,-179,1897.03
106,-179,1961.28
107,-179,2024.9
108,-179,2087.87
109,-179,2150.17
