"Freq [GHz]","Theta [deg]","Phi [deg]","dB(GainTheta) []","dB(GainPhi) []"
1.57542,90,-36,-5.63247738322887,-29.9200429533003
1.57542,90,-35,-5.51333672800999,-29.8165592031942
1.57542,90,-34,-5.39872009813136,-29.6779387398063
1.57542,90,-33,-5.28789070013257,-29.5126490116302
1.57542,90,-32,-5.18008106577052,-29.3291358659181
1.57542,90,-31,-5.07450250839916,-29.1352816605336
1.57542,90,-30,-4.97035674871401,-28.9380789725206
1.57542,90,-29,-4.86684951476296,-28.7434901211564
1.57542,90,-28,-4.76320576445724,-28.5564417224233
1.57542,90,-27,-4.65868601719345,-28.3809030118174
1.57542,90,-26,-4.55260313044408,-28.2200066247215
1.57542,90,-25,-4.4443387361007,-28.0761832015985
1.57542,90,-24,-4.33335847927989,-27.951292424061
1.57542,90,-23,-4.21922519576806,-27.8467414307795
1.57542,90,-22,-4.10160923350483,-27.7635870427238
1.57542,90,-21,-3.98029526942264,-27.7026214605419
1.57542,90,-20,-3.85518518569523,-27.6644427819482
1.57542,90,-19,-3.72629682883259,-27.6495124027691
1.57542,90,-18,-3.59375875334505,-27.6582015250589
1.57542,90,-17,-3.45780131797202,-27.6908288676516
1.57542,90,-16,-3.31874472782538,-27.7476914200352
1.57542,90,-15,-3.1769847780226,-27.8290897896892
1.57542,90,-14,-3.03297714114966,-27.9353494117582
1.57542,90,-13,-2.88722105077744,-28.0668386376232
1.57542,90,-12,-2.74024317467523,-28.2239845000942
1.57542,90,-11,-2.59258235985835,-28.4072867636327
1.57542,90,-10,-2.44477578636842,-28.6173306990894
1.57542,90,-9,-2.29734690713801,-28.8547988606244
1.57542,90,-8,-2.15079539439752,-29.1204819695689
1.57542,90,-7,-2.00558917167964,-29.415288800463
1.57542,90,-6,-1.86215849269262,-29.7402546808822
1.57542,90,-5,-1.72089193785225,-30.0965478016988
1.57542,90,-4,-1.58213413615068,-30.4854718982655
1.57542,90,-3,-1.44618498181604,-30.908462862096
1.57542,90,-2,-1.31330009790582,-31.3670752454263
1.57542,90,-1,-1.18369229801772,-31.8629520529634
1.57542,90,0,-1.05753380820077,-32.3977670727262
1.57542,90,1,-0.934959029908239,-32.9731223235542
1.57542,90,2,-0.816067648158169,-33.590372521593
1.57542,90,3,-0.700927914424559,-34.2503316960886
1.57542,90,4,-0.589579959355433,-34.9527917059562
1.57542,90,5,-0.482039014996274,-35.6957469183464
1.57542,90,6,-0.378298449066667,-36.4741781884445
1.57542,90,7,-0.278332534631665,-37.2782268463578
1.57542,90,8,-0.182098897112915,-38.0906611647266
1.57542,90,9,-0.0895405970431385,-38.8838795727614
1.57542,90,10,-0.000587821419574009,-39.6175841512009
1.57542,90,11,0.0848408308590928,-40.2397655742834
1.57542,90,12,0.166837472977733,-40.6946406384206
1.57542,90,13,0.245504457521426,-40.9385870164337
1.57542,90,14,0.320954292648229,-40.9573449390992
1.57542,90,15,0.393309925266793,-40.7721221376472
1.57542,90,16,0.462705362801775,-40.4293747106641
1.57542,90,17,0.529286599169118,-39.9827281930623
1.57542,90,18,0.593212805020375,-39.4788596704954
1.57542,90,19,0.654657736940384,-38.9516984726565
1.57542,90,20,0.713811314890116,-38.4226632248766
1.57542,90,21,0.770881311586926,-37.90337277961
1.57542,90,22,0.82609509154974,-37.3986340589699
1.57542,90,23,0.879701331102971,-36.908885638209
1.57542,90,24,0.931971643707207,-36.4319870080652
1.57542,90,25,0.983202027656287,-35.9644813575096
1.57542,90,26,1.03371404568491,-35.5024853054647
1.57542,90,27,1.08385563878564,-35.0423184533824
1.57542,90,28,1.13400147016736,-34.5809391436129
1.57542,90,29,1.18455269066022,-34.1162199668449
1.57542,90,30,1.23593601508072,-33.6470807683037
1.57542,90,31,1.28860200142035,-33.1734950570355
1.57542,90,32,1.34302243266406,-32.6963919003885
1.57542,90,33,1.399686716065,-32.217483105873
