"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Freq [GHz]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","phip1 [deg]","rprobe [mm]","Rteflon [mm]","Theta [deg]","thetap1 [deg]","Phi [deg]","dB(AxialRatioValue) []"
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-109,3.30392935179633
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-108,2.72780233058598
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-107,2.23753981099124
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-106,1.82213589509591
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-105,1.47418310522894
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-104,1.18963321450444
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-103,0.96767402030071
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-102,0.809832040728137
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-101,0.716607654648393
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-100,0.681712360425749
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-99,0.689885885679167
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-98,0.722530877277625
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-97,0.764375554858473
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-96,0.805373418064146
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-95,0.839559233418526
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-94,0.86349553179016
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-93,0.87516776758313
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-92,0.873320350786302
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-91,0.857074808567915
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-90,0.825708690481359
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-89,0.778523181943479
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-88,0.714759876923315
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-87,0.633546636974662
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-86,0.533867610175061
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-85,0.414582398386557
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-84,0.274685820765127
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-83,0.116472095496552
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-82,0.098618387946431
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-81,0.308107637211716
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-80,0.556926045810029
