"a [mm]","Alpha1 [deg]","Beta1 [deg]","Dphia [deg]","Dthetaa [deg]","Freq [GHz]","Gamma1 [deg]","h [mm]","Hprobe [mm]","numseg []","phip1 [deg]","rprobe [mm]","Rteflon [mm]","Theta [deg]","thetap1 [deg]","Phi [deg]","dB(GainLHCP) []","dB(GainRHCP) []"
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-166,-6.88342555948298,-12.4020434927451
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-165,-7.00708996830353,-12.2962356731313
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-164,-7.11910318454516,-12.1815896364842
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-163,-7.2196028866138,-12.0594354654066
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-162,-7.30893248258887,-11.931234875395
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-161,-7.38762904065921,-11.798535610643
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-160,-7.45640456521216,-11.6629309730712
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-159,-7.51612220043161,-11.5260261532468
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-158,-7.56776920567359,-11.3894121156808
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-157,-7.61242859292664,-11.2546470210653
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-156,-7.65125116914713,-11.1232446002965
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-155,-7.68542943394223,-10.9966685385527
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-154,-7.71617440703178,-10.8763317586879
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-153,-7.74469606031658,-10.7635994709717
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-152,-7.77218765564265,-10.659794935217
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-151,-7.79981397506948,-10.5662070194526
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-150,-7.82870319268575,-10.4840988019127
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-149,-7.85994197875514,-10.4147166241546
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-148,-7.89457334114423,-10.3592991441436
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-147,-7.93359668271527,-10.3190860464138
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-146,-7.97796957161653,-10.2953261324815
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-145,-8.02861076955649,-10.2892845298776
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-144,-8.08640412857718,-10.3022487118132
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-143,-8.15220303958662,-10.3355328958227
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-142,-8.22683518876119,-10.3904801638215
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-141,-8.31110744614559,-10.4684612784592
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-140,-8.40581077163649,-10.5708685996557
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-139,-8.5117250758474,-10.6991026355159
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-138,-8.62962401702326,-10.8545474488128
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-137,-8.7602797508344,-11.0385291688706
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-136,-8.90446767861745,-11.2522489191712
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-135,-9.06297126277495,-11.4966771408532
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-134,-9.23658699704702,-11.7723900556924
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-133,-9.42612963571383,-12.0793203983281
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-132,-9.63243780096037,-12.416383584134
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-131,-9.85638010311668,-12.7809288874791
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-130,-10.0988619257635,-13.1679591396017
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-129,-10.3608330483095,-13.5690778999029
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-128,-10.6432963042462,-13.971194009824
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-127,-10.9473175056996,-14.355196819929
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-126,-11.2740369062058,-14.6951676428349
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-125,-11.6246825262737,-14.9591641885922
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-124,-12.0005857331167,-15.1128346100471
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-123,-12.4031995502218,-15.1263171430625
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-122,-12.8341202778368,-14.9826182238073
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-121,-13.2951131355835,-14.683332118244
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-120,-13.7881427958639,-14.248104128799
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-119,-14.3154098608206,-13.7081976721844
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-118,-14.8793945375477,-13.0981168600463
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-117,-15.4829089587076,-12.4491746015232
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-116,-16.1291597112059,-11.7863907637375
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-115,-16.8218220206905,-11.1280402325834
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-114,-17.5651263580097,-10.4865836269058
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-113,-18.3639562576295,-9.8700156824337
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-112,-19.2239512934009,-9.2831323812235
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-111,-20.1515980157595,-8.72854230423071
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-110,-21.1542666671683,-8.20740910944701
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-109,-22.240095855059,-7.71997112271235
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-108,-23.4175035020859,-7.26589443798161
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-107,-24.6938275276825,-6.84450828224607
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-106,-26.0720030740802,-6.45495966840021
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-105,-27.5429862782092,-6.09631372350226
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-104,-29.069805296631,-5.76761786769086
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-103,-30.5592239044658,-5.46794212728651
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-102,-31.8316796335567,-5.19640379757255
100,0,0,33.3295,33.5702,1.57542,0,1.524,15.07,19,94.5545,0.65,2.05,90,95.5823,-101,-32.6483639864044,-4.95218191979211
